"name"|"anio"|"procurementMethod"|"tipo_proc"|"n_expedientes"|"n_contratos"|"monto_mxn"|"inst_pctn_monto"|"inst_pctn_contracts"
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|8|8|48901764.269999996|19.35|47.06
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2017"|"framework"|"Contrato marco"|1|1|632217|0.25|5.88
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|5|5|198869521.87|78.67|29.41
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|3|3|4380000|1.73|17.65
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|157|157|97141273.2458|17.55|57.72
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2018"|"framework"|"Contrato marco"|1|1|751824|0.14|0.37
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|23|23|258654312.45000002|46.73|8.46
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|91|91|196961109.48|35.58|33.46
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|66|66|31044434.03605|11.29|62.86
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|13|13|194608029.38|70.8|12.38
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|26|26|49214697.089999996|17.9|24.76
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|78|78|108150149.6699|41.27|82.98
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|9|9|132705500.96000001|50.64|9.57
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|7|7|21224994.18|8.1|7.45
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|22|22|11820241.19|4.32|45.83
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|25|25|260949562.54|95.43|52.08
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|1|1|679813.9|0.25|2.08
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2022"|"open"|"Licitación abierta"|1|1|7200000|100|100
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|23|23|17418608.63|85.07|88.46
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2017"|"framework"|"Contrato marco"|1|1|414671.4|2.03|3.85
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|2|2|2643359.5999999996|12.91|7.69
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|57|60|26630195.27625|12.64|61.86
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|7|8|103957359.10000001|49.33|8.25
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|29|29|80134792.65|38.03|29.9
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|81|82|19363164.18|3.51|66.13
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|10|10|419079843.89|76.03|8.06
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|31|32|112764002.47|20.46|25.81
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|45|45|34146448.01|19.19|56.25
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|19|19|109656821.96|61.62|23.75
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|14|16|34161504.01|19.2|20
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|76|76|31413832.93|5.33|68.47
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|25|25|519635727.87|88.12|22.52
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|10|10|38637906.78|6.55|9.01
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2022"|"direct"|"Adjudicación directa"|21|21|7936088.37|2.72|33.87
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2022"|"open"|"Licitación abierta"|20|20|198069066.07|67.9|32.26
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2022"|"selective"|"Invitación a 3 o más"|20|21|85701818.4|29.38|33.87
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2023"|"direct"|"Adjudicación directa"|32|32|38473937.78|100|100
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|2|2|57625|0.95|50
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|1|1|4300780|70.53|25
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|1|1|1739281.46|28.52|25
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|45|46|9944900.32|8.51|85.19
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|6|6|103838226.5|88.88|11.11
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|2|2|3051816.24|2.61|3.7
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|149|151|18206659.8612|21.51|93.21
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|8|8|63577246.9909|75.12|4.94
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|3|3|2854849.255|3.37|1.85
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|51|58|28300308.110000003|15.61|78.38
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|10|11|149483594.2892|82.46|14.86
