"name"|"anio"|"p_t1"|"p_t2"|"p_t3"|"p_t4"|"p_t5"|"transp_gral"|"p_c1"|"p_c2"|"p_c3"|"p_c4"|"p_c5"|"comp_gral"|"p_i1"|"p_i2"|"p_i3"|"p_i4"|"p_i5"|"irreg_gral"
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2017"|0|0|0|0|25|5|50|0|62.5|0|21.130871504029045|26.72617430080581|0|0|50|0|31.25|16.25
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2018"|0|0|0|7.89|47.37|11.052|57.93357933579336|0|89.47368421052632|28.947368421052634|53.20648040857524|45.91222247518951|0|0|84.87084870848709|6.642066420664207|5.166051660516605|19.33579335793358
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2019"|0|0|0|2.56|2.56|1.024|62.857142857142854|0|74.35897435897436|2.564102564102564|29.19924336479019|33.79589262900199|0|0|68.57142857142857|0|10.476190476190476|15.80952380952381
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2020"|0|0|0|0|12.5|2.5|82.97872340425532|0|50|0|49.36463123545127|36.46867092794132|0|0|53.191489361702125|1.0638297872340425|1.0638297872340425|11.063829787234042
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2021"|0|0|0|0|0|0|37.93103448275862|0|10.344827586206897|0|4.571246139723483|10.5694216417378|0|0|62.745098039215684|0|7.8431372549019605|14.117647058823527
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2022"|NA|0|0|0|0|0|0|NA|0|0|0|0|0|0|0|0|0|0
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2017"|0|0|0|0|0|0|92|0|0|0|100|38.4|0|4|64|4|0|14.4
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2018"|0|0|0|19.44|27.78|9.443999999999999|58.76288659793815|0|5.555555555555555|27.77777777777778|50.66619152308043|28.55248229087038|0|0|81.44329896907216|0|16.49484536082474|19.58762886597938
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2019"|0|0|0|0|12.2|2.44|65.32258064516128|0|4.878048780487805|0|23.97051636200331|18.83422915753048|0|0|84.67741935483872|1.6129032258064515|9.67741935483871|19.193548387096776
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2020"|0|0|0|0|0|0|56.25|0|6.0606060606060606|12.121212121212121|38.38284987099558|22.56293361056275|0|0|87.5|0|7.5|19
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2021"|1.32|0|0|0|8.11|1.886|67.2566371681416|0|5.405405405405405|29.72972972972973|11.879468966414215|22.854248253938188|0|0|82.30088495575221|0.8849557522123894|4.424778761061947|17.522123893805308
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2022"|0|0|0|0|4.76|0.952|33.33333333333333|0|0|19.047619047619047|30.8185715923253|16.639904794655536|0|0|78.125|4.6875|9.375|18.4375
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2023"|0|NA|NA|NA|NA|0|100|0|NA|NA|100|66.66666666666667|0|0|87.5|0|0|17.5
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2017"|0|0|0|0|0|0|50|0|50|0|29.46865949549003|25.893731899098007|0|0|50|0|25|15
