"name"|"anio"|"n_prov"
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2017"|16
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2018"|161
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2019"|86
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2020"|80
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2021"|44
"Administración Portuaria Integral de Altamira, S.A. de C.V."|"2022"|1
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2017"|20
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2018"|78
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2019"|105
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2020"|73
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2021"|92
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2022"|51
"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V."|"2023"|30
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2017"|4
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2018"|37
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2019"|78
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2020"|56
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2021"|43
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2022"|3
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2017"|5
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2018"|47
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2019"|53
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2020"|17
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2021"|52
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2022"|1
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2017"|3
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2018"|83
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2019"|123
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2020"|80
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2021"|63
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2022"|1
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2017"|25
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2018"|157
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2019"|187
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2020"|115
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2021"|149
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2022"|22
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2017"|26
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2018"|157
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2019"|213
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2020"|138
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2021"|166
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2022"|8
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2017"|2
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2018"|54
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2019"|43
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2020"|34
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2021"|46
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2022"|1
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2017"|10
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2018"|107
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2019"|117
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2020"|67
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2021"|73
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2022"|17
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2017"|7
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2018"|11
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2019"|14
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2020"|25
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2021"|36
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2022"|5
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2017"|4
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2018"|42
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2019"|32
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2020"|5
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2021"|34
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2022"|1
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2017"|3
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2018"|50
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2019"|54
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2020"|42
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2021"|22
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2022"|47
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2018"|21
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2019"|23
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2020"|24
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2021"|36
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2017"|9
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2018"|43
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2019"|38
